2026-05-26 14:43:53,278 - INFO - Starting RL generative experiment with oracle budget: 1500
2026-05-26 15:02:18,495 - INFO - Oracle calls: 489/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 15:02:41,666 - INFO - Oracle calls: 491/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 15:03:19,625 - INFO - Oracle calls: 492/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 15:04:21,521 - INFO - Oracle calls: 497/1500 (Batch Validity: 93.75%, 15 / 16)
2026-05-26 15:05:03,912 - INFO - Oracle calls: 499/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 15:05:38,765 - INFO - Logging intermediate results at 501 oracle calls.
2026-05-26 15:05:38,885 - INFO - Oracle calls: 501/1500 (Batch Validity: 87.5%, 14 / 16)
2026-05-26 15:06:39,769 - INFO - Oracle calls: 508/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 15:07:16,890 - INFO - Oracle calls: 516/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 15:10:04,290 - INFO - Oracle calls: 526/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 15:11:50,432 - INFO - Oracle calls: 537/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 15:13:40,653 - INFO - Oracle calls: 547/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 15:14:25,384 - INFO - Oracle calls: 553/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 15:15:10,944 - INFO - Oracle calls: 556/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 15:16:43,319 - INFO - Oracle calls: 565/1500 (Batch Validity: 93.33%, 14 / 15)
2026-05-26 15:17:35,943 - INFO - Oracle calls: 570/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 15:18:42,964 - INFO - Oracle calls: 579/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 15:20:24,586 - INFO - Oracle calls: 586/1500 (Batch Validity: 100.0%, 16 / 16)
